id,name
19334,Florian Wirtz
45611,Robert Andrich
64713,Edmond Tapsoba
125674,Piero Hincapié
128954,Jeremie Frimpong
137047,Amine Adli
152432,Emrehan Gedikli
172568,Zidan Sertdemir
167098,Odilon Kossounou
138,Marco Reus
141,Roman Bürki
143,Manuel Akanji
148,Julian Brandt
158,Mahmoud Dahoud
312,Nico Schulz
334,Gregor Kobel
350,Mats Hummels
401,Felix Passlack
3183,Emre Can
3246,Raphaël Guerreiro
3471,Marwin Hitz
3650,Thomas Meunier
3655,Thorgan Hazard
3656,Axel Witsel
6481,Marcel Schmelzer
6483,Dan-Axel Zagadou
6714,Marius Wolf
7457,Donyell Malen
10561,Steffen Tigges
15110,Marin Pongračić
38101,Erling Haaland
111021,Luca Unbehaun
120963,Tobias Raschl
120984,Mateu Morey
123350,Reinier
125010,Jude Bellingham
136733,Gio Reyna
150817,Youssoufa Moukoko
150860,Ansgar Knauff
161415,Abdoulaye Kamara
170075,Soumaïla Coulibaly
190,Nikolas Nartey
206,Chris Führich
379,Waldemar Anton
3269,Wataru Endō
6603,Fabian Bredlow
6614,Florian Müller
6982,Roberto Massimo
7079,Atakan Karazor
7789,Konstantinos Mavropanos
9398,Orel Mangala
9404,Erik Thommy
9425,Daniel Didavi
9471,Marc-Oliver Kempf
9487,Pascal Stenzel
10044,Hamadi Al Ghaddioui
10069,Philipp Förster
10208,Borna Sosa
10761,Saša Kalajdžić
45589,Philipp Klement
48657,Hiroki Ito
59829,Mateo Klimowicz
66896,Omar Marmoush
82354,Silas Wamangituka
100269,Alkhaly Momo Cissé
123108,Tanguy Coulibaly
131752,Naouirou Ahamada
136132,Lilian Egloff
140861,Clinton Mola
143959,Wahid Faghir
147913,Enzo Millot
156949,Mohamed Sankoh
170065,Ömer Beyaz
170070,Jordan Meyer
142,Maximilian Philipp
3642,Koen Casteels
6537,Gian-Luca Waldschmidt
6613,Marvin Stefaniak
6634,Ridle Baku
6850,Paulo Otávio
7697,Wout Weghorst
7892,Lukas Nmecha
8128,Dodi Lukebakio
8369,Jérôme Roussillon
8847,Sebastiaan Bornauw
9406,Daniel Ginczek
9417,John Brooks
9418,William
9423,Maximilian Arnold
9424,Josuha Guilavogui
9426,Yannick Gerhardt
9433,Renato Steffen
9437,Admir Mehmedi
10700,Pavao Pervan
16268,Kevin Mbabu
16344,Xaver Schlager
66421,Niklas Klinger
82351,Maxence Lacroix
101074,Felix Kalu Nmecha
122340,Aster Vranckx
131024,Bartosz Bialek
150740,Jannis Lang
151283,Anselmo MacNulty
170067,Philipp Schulze
171432,Micky van de Ven
170069,Kobe Hernández-Foster
3176,Matthias Ginter
3185,Lars Stindl
3470,Yann Sommer
3475,Nico Elvedi
3483,Breel Embolo
6599,Torben Müsel
6667,Tobias Sippel
6670,Tony Jantschke
6672,Mamadou Doucouré
6678,Louis Beyer
6680,Patrick Herrmann
6681,Jonas Hofmann
6682,Christoph Kramer
6684,László Bénes
6687,Denis Zakaria
8443,Alassane Pléa
8685,Marcus Thuram-Ulien
8805,Ramy Bensebaini
9522,Florian Neuhaus
15109,Hannes Wolf
16338,Stefan Lainer
56601,Keanen Bennetts
82442,Joseph Scally
97458,Jan Jakob Olschowsky
102395,Kouadio Koné
144361,Luca Netz
172573,Jonas Kersken
171654,Conor Noss
234,Christopher Lenz
526,Evan N'Dicka
3175,Kevin Trapp
3271,Makoto Hasebe
3446,Filip Kostić
6482,Erik Durm
6485,Sebastian Rode
6646,Martin Hinteregger
6701,Timmy Chandler
6704,Aymen Barkok
6707,Danny da Costa
6716,Daichi Kamada
7455,Sam Lammers
7528,Ajdin Hrustic
7557,Amin Younes
7772,Ragnar Ache
8751,Almamy Touré
9387,Jens Grahl
9546,Stefan Ilsanker
15919,Gonçalo Paciência
16275,Djibril Sow
23222,Kristijan Jakić
37916,Jens Hauge
81973,Jesper Lindstrøm
99357,Tuta
117476,Diant Ramaj
168958,Rafael Santos Borre
172569,Jan Schröder
172567,Gianluca Schäfer
170077,Enrique Herrero García
170076,Fabio Blanco
170068,Martin Pecar
170066,Felix Irorere
156,Benjamin Henrichs
308,Philipp Tschauner
1760,André Silva
3466,Yussuf Poulsen
3494,Emil Forsberg
7646,Angeliño
8371,Nordi Mukiele
8484,Christopher Nkunku
9533,Péter Gulácsi
9536,Lukas Klostermann
9537,Willi Orban
9538,Marcel Halstenberg
9549,Konrad Laimer
9550,Kevin Kampl
11666,Marcelo Saracchi
15704,Amadou Haïdara
16347,Dominik Szoboszlai
23132,Dani Olmo
77596,Tyler Adams
97535,Brian Brobbey
101415,Josep Martinez
116196,Mohamed Simakan
122266,Joško Gvardiol
147357,Hugo Novoa
147358,Joscha Wosz
157368,Ilaix Moriba
170071,Ben Klefisch
169198,Sidney Raebiger
56,Simon Kjær
71,Theo Hernández
1738,Davide Calabria
1740,Alessio Romagnoli
1742,Andrea Conti
1747,Franck Kessié
1753,Matteo Gabbia
1811,Alessandro Florenzi
2494,Rade Krunić
2505,Ismael Bennacer
2563,Sandro Tonali
2750,Alessandro Plizzari
3371,Olivier Giroud
3557,Ante Rebić
7812,Tiemoué Bakayoko
7887,Brahim Diaz
8390,Mike Maignan
8403,Fodé Ballo-Touré
8688,Ciprian Tătăruşanu
8768,Pietro Pellegri
8858,Alexis Saelemaekers
11528,Fikayo Tomori
11688,Zlatan Ibrahimovic
15892,Rafael Leão
33126,Samu Castillejo
136113,Daniel Maldini
141295,Pierre Kalulu
11,Álvaro Odriozola
1750,Giacomo Bonaventura
1768,Michele Cerofolini
1775,Nikola Milenković
1776,Cristiano Biraghi
1782,Riccardo Saponara
1784,Marco Benassi
1792,Riccardo Sottil
1867,Erick Pulgar
2104,José Callejón
2194,Alfred Duncan
2260,Lucas Torreira
2310,Lorenzo Venuti
2476,Pietro Terracciano
2577,Antonio Rosati
2676,Gaetano Castrovilli
3433,Matija Nastasić
3705,Sofyan Amrabat
10777,Igor
45680,Nicolás González
49454,Aleksandr Kokorin
57805,Youssef Maleh
73064,Aleksa Terzić
82002,Dušan Vlahović
170386,Tòfol Montiel
170382,Bartlomiej Dragowski
169309,Lucas Martínez Quarta
69,Borja Mayoral
1081,Roger Ibañez
